date,iv30,confidence,method
2026-02-04,0.1122,0.63,NEAREST_SHORT_FALLBACK
2026-02-05,0.1079,0.69,VARIANCE_INTERP
2026-02-06,0.1050,0.71,VARIANCE_INTERP
2026-02-10,0.0991,0.68,VARIANCE_INTERP
2026-02-11,0.0979,0.69,VARIANCE_INTERP
2026-02-12,0.0998,0.70,VARIANCE_INTERP
2026-02-14,0.1161,0.63,NEAREST_SHORT_FALLBACK
2026-02-05,0.1079,0.69,VARIANCE_INTERP
2026-02-06,0.1050,0.71,VARIANCE_INTERP
2026-02-10,0.0991,0.68,VARIANCE_INTERP
2026-02-11,0.0979,0.69,VARIANCE_INTERP
2026-02-12,0.0998,0.70,VARIANCE_INTERP
2026-02-13,0.1142,0.65,VARIANCE_INTERP
2026-02-16,0.1109,0.65,VARIANCE_INTERP
2026-02-17,0.1089,0.68,VARIANCE_INTERP
2026-02-18,0.1040,0.66,VARIANCE_INTERP
2026-02-19,0.1164,0.77,VARIANCE_INTERP
